,mean,50%,2.50%,97.50%,Rhat,n.eff,PN,PP
b[1],3.34756874,3.34564,3.2283985,3.477033231,1.001341997,1500,0,1
b[2],0.600496456,0.597186,0.395024371,0.811147666,1.009989913,200,0,1
b[3],-0.060275606,-0.05943965,-0.2812422,0.1770057,1.000159952,1500,0.699333333,0.300666667
b[4],-0.217576032,-0.2154525,-0.653812575,0.21257385,1.033229731,75,0.839333333,0.160666667
b[5],-0.136833992,-0.138116,-0.367151625,0.076045545,1.006774488,320,0.877333333,0.122666667
b[6],-0.080227408,-0.0776079,-0.480339075,0.29277705,1.049962472,45,0.657333333,0.342666667
sigma,0.110799285,0.1107005,0.104210048,0.117832948,1.004152542,510,0,1
mu.phi,0.264005522,0.2627425,0.213951585,0.323813142,1.000458866,1500,0,1
sigma.phi,0.450578758,0.42761097,0.251320239,0.772933551,1.001561348,1300,0,1
mu,4.103236513,4.103185,4.093259,4.1134,1.003408339,610,0,1
loglik[9],-5.10257224,-5.09764,-5.31374625,-4.931476,1.022524627,130,1,0
loglik[14],-5.914601407,-5.888185,-6.191833,-5.78845475,1.020949824,110,1,0
loglik[17],-4.731835207,-4.730025,-5.018432,-4.46607425,1.018710277,150,1,0
loglik[19],-4.917337873,-4.902595,-5.157886,-4.7620485,1.061478191,50,1,0
loglik[21],-4.681413733,-4.679965,-4.9421165,-4.44128475,1.016609491,140,1,0
loglik[23],-4.660768767,-4.65492,-4.9250455,-4.41323275,1.027256108,84,1,0
loglik[25],-4.687016153,-4.68537,-4.9526445,-4.4414715,1.016646205,140,1,0
loglik[26],-4.63099246,-4.628395,-4.8859975,-4.3951465,1.020054058,100,1,0
loglik[27],-4.659004433,-4.654525,-4.913598,-4.42050175,1.017239724,120,1,0
loglik[28],-9.549642313,-9.527085,-10.5980075,-8.63559775,1.019966443,100,1,0
loglik[38],-4.692618627,-4.689945,-4.96388125,-4.4434205,1.016749229,140,1,0
loglik[43],-4.69822106,-4.695535,-4.970565,-4.447911,1.016909344,140,1,0
loglik[47],-4.86347686,-4.83654,-5.17113725,-4.70014075,1.071149813,46,1,0
loglik[49],-4.647799593,-4.642315,-4.90374125,-4.41057175,1.018086972,120,1,0
loglik[51],-4.69822106,-4.695535,-4.970565,-4.447911,1.016909344,140,1,0
loglik[58],-4.292096333,-4.273805,-4.82272625,-3.856294,1.051583927,53,1,0
loglik[82],-4.771145307,-4.76473,-5.19436825,-4.379065,1.08244055,29,1,0
loglik[85],-4.843976333,-4.84309,-5.30990625,-4.41218325,1.091597326,27,1,0
loglik[92],-4.74873584,-4.744135,-5.163264,-4.3700085,1.077759877,31,1,0
loglik[103],-4.802771047,-4.798785,-4.8799965,-4.74437375,1.000996302,1500,1,0
loglik[108],-5.42827136,-5.425145,-5.47859425,-5.39314275,1.001253071,1500,1,0
loglik[111],-4.17638786,-4.17504,-4.31101225,-4.05425125,1.001570516,1500,1,0
loglik[112],-5.406747927,-5.40422,-5.4426335,-5.384369,1.001035657,1500,1,0
loglik[113],-4.795316467,-4.79302,-4.85417675,-4.74817225,1.001573372,1500,1,0
loglik[119],-5.406258547,-5.398665,-5.475456,-5.38205,1.004293958,1500,1,0
loglik[120],-5.98952756,-5.98577,-6.14505025,-5.8649075,1.001509005,1500,1,0
loglik[129],-5.403325887,-5.39667,-5.4643935,-5.38205475,1.004733518,1500,1,0
loglik[143],-4.18611048,-4.183985,-4.32808025,-4.05380475,1.001259695,1500,1,0
loglik[155],-4.21770966,-4.21125,-4.43561575,-4.016978,1.000614197,1500,1,0
loglik[156],-4.11562034,-4.113175,-4.381526,-3.87674375,1.001294341,1500,1,0
loglik[161],-4.800557947,-4.79714,-4.869723,-4.7459245,1.00115034,1500,1,0
loglik[163],-4.187325933,-4.18506,-4.3303585,-4.05342175,1.001240758,1500,1,0
loglik[183],-4.043835607,-4.047525,-4.44387025,-3.67355425,1.054305744,43,1,0
loglik[216],-4.718745913,-4.715815,-4.7586355,-4.69352425,1.004071966,1000,1,0
loglik[218],-4.712625693,-4.710515,-4.74594575,-4.69195125,1.002335756,860,1,0
loglik[219],-6.350028213,-6.343605,-6.5998905,-6.137622,1.004538434,580,1,0
