"","mean","50%","2.5%","97.5%","Rhat","n.eff","PP","PN"
"b[1]",4.58881464666667,4.58460495462804,4.24870868829831,4.92713951334961,1.00801905847903,1500,1,0
"b[2]",1.242799164,1.2485749999099,0.67109137794637,1.77129542676131,1.00948095765934,520,1,0
"b[3]",0.519275102,0.518111416301552,0.295986391264875,0.751749026094225,1.01102400613427,180,1,0
"b[4]",-0.11671703239,-0.1159735,-0.7198648,0.466671275,1.02236040157266,97,0.361333333333333,0.638666666666667
"b[5]",0.674987224,0.676511499068567,0.461834900213688,0.87706054012232,1.00344501991614,770,1,0
"b[6]",-1.75480454666667,-1.75574,-2.22545825,-1.27765025,1.01032559183522,1500,0,1
"sigma",0.126648856,0.126522999996048,0.119134473240666,0.134864049996302,1.0014772493717,1400,1,0
"mu.phi",0.263524268,0.261332997788263,0.198153449578646,0.337507899521209,1.00021101647606,1500,1,0
"sigma.phi",0.600457334666667,0.574918940301152,0.363574808965548,0.961770487977858,1.00232243566164,950,1,0
"mu",4.09271126666667,4.09248499999695,4.08192749969454,4.10418874931644,1.00058833605255,1500,1,0
"loglik[1]",-4.95099302,-4.94678,-5.11006275,-4.816203,1.00497145283943,1400,0,1
"loglik[2]",-4.51975324666667,-4.52035,-4.78322375,-4.254993,1.00620871016236,1500,0,1
"loglik[4]",-4.82692914666667,-4.821005,-4.953848,-4.7243055,1.00709365622354,730,0,1
"loglik[10]",-9.94242268666667,-9.830005,-11.990895,-8.58062625,1.00115040617023,1500,0,1
"loglik[16]",-4.82692914666667,-4.821005,-4.953848,-4.7243055,1.00709365622354,730,0,1
"loglik[19]",-4.90587631333333,-4.90206,-5.05384575,-4.7822875,1.00596002641937,1200,0,1
"loglik[23]",-4.25132584666667,-4.251015,-4.51695875,-3.96741625,1.0068534072658,1400,0,1
"loglik[24]",-4.53513644666667,-4.53537,-4.80114825,-4.26555125,1.005197667097,1500,0,1
"loglik[31]",-5.26571372,-5.264145,-5.6055945,-4.9528585,1.01147880890738,230,0,1
"loglik[32]",-8.37778916,-8.27619,-9.65412225,-7.57266575,1.00852418793167,1400,0,1
"loglik[38]",-4.90889238666667,-4.920205,-5.33625,-4.47045625,1.00611599278955,1200,0,1
"loglik[57]",-5.17452053333333,-5.169655,-5.49450625,-4.8934325,1.00420788486909,1500,0,1
"loglik[58]",-5.81764520666667,-5.80368,-5.9284205,-5.78753,1.01538158600863,160,0,1
"loglik[79]",-6.10435301333333,-6.08639,-6.23136025,-6.07521,1.02168369231481,370,0,1
"loglik[112]",-5.49600254666667,-5.4911,-5.60087075,-5.41947475,1.00646843731275,1500,0,1
"loglik[117]",-7.08683476,-7.033565,-7.686535,-6.79605775,1.0364318950221,75,0,1
"loglik[118]",-7.01324395333333,-6.98454,-7.41809325,-6.75273075,1.00690183578145,580,0,1
"loglik[121]",-6.87478103333333,-6.83718,-7.31817475,-6.65813575,1.02762450376521,90,0,1
"loglik[125]",-7.26827108666667,-7.232645,-7.7586765,-6.94667925,1.00975879845844,260,0,1
"loglik[127]",-7.92115350666667,-7.87772,-8.62669,-7.4244255,1.00678479368591,550,0,1
"loglik[135]",-5.21370936,-5.213035,-5.42885125,-5.01877175,1.00443122299721,820,0,1
"loglik[140]",-4.78702945333333,-4.78597,-5.07900125,-4.4832625,1.00211855875566,1500,0,1
"loglik[148]",-5.32582678666667,-5.338165,-5.98231125,-4.611443,1.03540848644414,65,0,1
"loglik[153]",-5.80269823333333,-5.795715,-5.85713475,-5.78751475,1.00933388111679,220,0,1
"loglik[157]",-7.11297705333333,-7.084205,-7.55791025,-6.8082095,1.00518147715943,1500,0,1
"loglik[164]",-5.46584326666667,-5.45785,-5.58159175,-5.38895175,1.00078172709114,1500,0,1
"loglik[167]",-5.21434881333333,-5.215495,-5.430272,-5.01393925,1.00921895686891,270,0,1
"loglik[169]",-5.48647452,-5.480015,-5.612574,-5.398248,1.00060441351739,1500,0,1
"loglik[178]",-7.13454564,-7.09114,-7.698563,-6.8341235,1.02725204004892,89,0,1
