,mean,50%,2.50%,97.50%,Rhat,n.eff,PN,PP
b[1],3.857227173,3.855164999,3.609838,4.098585506,1.010944474,190,0,1
b[2],0.317903,0.3130245,0.098488755,0.578341475,1.025454938,89,0.000666667,0.999333333
b[3],0.79645039,0.793335485,0.53359353,1.075798844,1.013885457,170,0,1
b[4],-0.191084439,-0.1945025,-0.66535835,0.2716165,1.009514042,360,0.792,0.208
b[5],0.490270017,0.487837492,0.28980725,0.708981353,1.006021178,420,0,1
b[6],-0.68696576,-0.6844355,-0.9395639,-0.4242428,1.025495692,94,1,0
sigma,0.126669864,0.1265225,0.1190757,0.134862675,1.000182532,1500,0,1
mu.phi,0.261738186,0.260155499,0.193861862,0.332323702,1.001564179,1300,0,1
sigma.phi,0.61170293,0.588047992,0.372006823,1.022604196,1.00010643,1500,0,1
mu,4.09270544,4.092695,4.081429,4.1044215,1.001113378,1500,0,1
loglik[1],-4.878343287,-4.873165,-5.0081145,-4.77341,1.015000769,150,1,0
loglik[2],-4.37498628,-4.37326,-4.63635,-4.12224975,1.016032764,130,1,0
loglik[4],-4.766167113,-4.756215,-4.9061005,-4.69169975,1.028584779,98,1,0
loglik[10],-10.08959613,-9.889085,-12.71003,-8.51026225,1.007247099,370,1,0
loglik[16],-4.766167113,-4.756215,-4.9061005,-4.69169975,1.028584779,98,1,0
loglik[19],-4.834905587,-4.829245,-4.97435625,-4.73544975,1.020334703,120,1,0
loglik[23],-4.08047124,-4.079755,-4.42908175,-3.76114325,1.020751291,100,1,0
loglik[24],-4.401406787,-4.40156,-4.64142,-4.17037275,1.011578958,180,1,0
loglik[31],-4.870017453,-4.86274,-5.03325075,-4.74472825,1.009377778,260,1,0
loglik[32],-10.90232878,-10.83595,-12.6134,-9.49024525,1.013747665,170,1,0
loglik[38],-4.22272958,-4.22073,-4.50873225,-3.9573635,1.018161064,130,1,0
loglik[57],-4.78101518,-4.773975,-4.8979035,-4.7077475,1.033129669,80,1,0
loglik[58],-6.030514213,-6.017845,-6.27515075,-5.8485805,1.023471471,92,1,0
loglik[79],-6.451475873,-6.43058,-6.832321,-6.19472525,1.010883276,210,1,0
loglik[112],-5.38958534,-5.385785,-5.41891675,-5.38204,1.00296633,1500,1,0
loglik[117],-7.56646028,-7.542855,-8.170683,-7.12776975,1.017511796,140,1,0
loglik[118],-8.065454913,-8.050845,-8.59293775,-7.65055875,1.015799597,150,1,0
loglik[121],-7.39158916,-7.373005,-7.89934425,-7.018008,1.017315715,140,1,0
loglik[125],-8.388823207,-8.37336,-9.01977375,-7.89557575,1.016186834,150,1,0
loglik[127],-9.671939407,-9.65086,-10.50062,-9.0088285,1.01564066,150,1,0
loglik[135],-4.853013373,-4.85138,-4.93003625,-4.78292125,1.013038045,170,1,0
loglik[140],-4.111577247,-4.111185,-4.23951475,-3.983355,1.012901317,170,1,0
loglik[148],-5.138645467,-5.136185,-5.561346,-4.73050625,1.012659628,170,1,0
loglik[153],-5.923475427,-5.917495,-6.0493035,-5.83954575,1.017333358,140,1,0
loglik[157],-8.4904605,-8.48119,-8.9911155,-8.0612455,1.014291869,160,1,0
loglik[164],-5.41829866,-5.41555,-5.4642715,-5.38906225,1.014205969,170,1,0
loglik[167],-4.874479387,-4.872715,-4.96505825,-4.7907995,1.012918855,170,1,0
loglik[169],-5.40161086,-5.39876,-5.43621525,-5.382999,1.01577727,170,1,0
loglik[178],-7.786800373,-7.76582,-8.40279775,-7.3247975,1.017075019,150,1,0
loglik[190],-5.944671427,-5.93957,-6.072173,-5.855163,1.016688926,150,1,0
loglik[195],-4.655268847,-4.65496,-4.902448,-4.39858425,1.014922799,140,1,0
loglik[197],-4.712328333,-4.709605,-4.9557415,-4.4538045,1.014583107,140,1,0
loglik[198],-4.655268847,-4.65496,-4.902448,-4.39858425,1.014922799,140,1,0
loglik[206],-5.79740652,-5.792135,-5.8360315,-5.7875,1.002379054,1500,1,0
loglik[207],-4.367551933,-4.364685,-4.546527,-4.17888725,1.003258213,760,1,0
