"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"b[1]",3.31611850666667,0.102247553495265,3.12964218163013,3.24738249965068,3.31048499969415,3.37888997443189,3.53483496472574,1.04964269935134,54
"b[2]",-0.00506484479326667,0.0527716907164629,-0.1061102,-0.04117965,-0.008017115,0.02862345,0.1038731,1.04688392446412,55
"b[3]",0.155335723333333,0.0223791203305667,0.111913719383741,0.140425982902653,0.155839496816436,0.169387999778623,0.198607864773773,1.00300799360963,760
"b[4]",0.0542678056053333,0.0240982539638615,0.00493412825,0.037704125,0.05511645,0.0705167,0.10006376,1.00481861691524,420
"b[5]",0.210205004251333,0.105450165873422,-0.0132829475,0.14255925,0.2169935,0.28209275,0.40622945,1.0458835986497,59
"sigma",7.77989816,0.163267392720954,7.46646748647333,7.66574999982389,7.78178499755679,7.89124749885832,8.1043562553698,1.00232080046319,1500
"phi",0.192449690666667,0.00510954147809669,0.182389649866008,0.18908249484061,0.192618999976638,0.195819499998085,0.20245977492548,1.00071054413376,1500
"test",0,0,0,0,0,0,0,1,1
"logLik[1]",-5.33540734,0.949057543492893,-7.84374775,-5.73411,-5.06536,-4.65607,-4.26627025,1.00028270508269,1500
"logLik[2]",-5.00469742666667,0.997314502724061,-7.85588425,-5.3680975,-4.724545,-4.32228,-3.94601675,1.00053492143169,1500
"logLik[3]",-5.14858166,0.965632595762649,-7.90673825,-5.509405,-4.86507,-4.4857225,-4.11070575,1.00931790736446,760
"logLik[4]",-5.2305754,0.975593912278305,-7.818708,-5.59864,-4.964545,-4.5435425,-4.129236,1.00326665527954,900
"logLik[5]",-5.06755276666667,1.03725561924406,-7.79935325,-5.4368625,-4.76935,-4.37279,-3.971973,1.00036909979238,1500
"logLik[6]",-5.25851480666667,1.03405577842124,-7.96575525,-5.6416625,-4.941455,-4.5419625,-4.15907625,1.00235234714447,1500
"logLik[7]",-5.25954082,0.994547728573916,-7.88798125,-5.65375,-4.961005,-4.57677,-4.1519475,1.00049755748342,1500
"logLik[8]",-5.16271993333333,0.983012313289945,-7.56338375,-5.56505,-4.89164,-4.48818,-4.105933,1.0040707414727,1500
"logLik[9]",-5.16087397333333,1.00156842339192,-7.89400625,-5.5611775,-4.86458,-4.472115,-4.08537175,1.00074908455165,1500
"logLik[10]",-5.13961535333333,1.0410560267088,-7.8533745,-5.5786375,-4.83087,-4.4118625,-4.01243,1.00293472597921,1100
"logLik[11]",-5.23586558,0.973111705505929,-7.8297005,-5.6309925,-4.936515,-4.5602025,-4.157132,1.00007140386623,1500
"logLik[12]",-5.09606364,1.00784511867812,-7.8905595,-5.4954125,-4.815865,-4.3919975,-4.0021905,1.00999833352473,230
"logLik[13]",-5.18963257333333,1.03980522665457,-7.8761555,-5.6211575,-4.8744,-4.4849575,-4.08145875,1.0047293146238,1400
"logLik[14]",-5.08530744,1.06034519921211,-7.77352925,-5.5004,-4.77695,-4.34748,-3.97588125,1.00617249367289,760
"logLik[15]",-5.09458519333333,1.1130730893323,-8.06173975,-5.4555675,-4.77782,-4.350265,-3.97169325,1.00106793045852,1500
"logLik[16]",-5.12396244,1.07349192849051,-7.93871,-5.516415,-4.808445,-4.393835,-3.97274325,1.0034511991396,1100
"logLik[17]",-5.22368598,1.03102389670619,-7.79019225,-5.6822125,-4.91011,-4.512235,-4.1192745,1.00013618550003,1500
"logLik[18]",-5.04377735333333,1.00659184761454,-7.94030175,-5.45313,-4.74037,-4.3570025,-3.993525,1.00183512417584,1500
"logLik[19]",-5.07399208666667,0.984109337891576,-7.69845825,-5.467495,-4.79998,-4.3857525,-3.983811,1.00146155858829,1400
"logLik[20]",-5.07882577333333,1.02783964792901,-7.74669,-5.402705,-4.79455,-4.4091475,-3.98669875,1.01304145181692,980
"logLik[21]",-5.23044368,0.999117143490693,-7.9592205,-5.6326275,-4.919485,-4.5308125,-4.15783225,1.00109245399936,1500
