"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"b[1]",3.61215836,0.0661045280990685,3.48535287356013,3.56654749999737,3.60941499622861,3.65658999852325,3.74560746809819,1.00183898839124,1100
"b[2]",0.0289608289526667,0.141376605385026,-0.242066025,-0.07030935,0.02749155,0.12392575,0.31238995,1.00417968530441,480
"b[3]",-0.0754552269474867,0.0345017102303215,-0.1448951,-0.097468675,-0.0761064,-0.05132305,-0.010181655,1.0013046024168,1500
"b[4]",-0.0598012914970667,0.042150884260611,-0.1392646,-0.08924245,-0.06050735,-0.0300441,0.02450854,1.0009195601256,1500
"b[5]",-0.128074062297333,0.303492235595488,-0.711336575,-0.33518125,-0.127798,0.073786825,0.495922675,1.0048073670814,420
"sigma",6.7014584,0.219008265010711,6.29887349137724,6.54904499903229,6.69819999993282,6.85206999570944,7.14145349965779,1.00028921591254,1500
"phi",0.279771816666667,0.0108597904234727,0.259034547963613,0.272141994355003,0.279462499988818,0.287070999979099,0.300926408919315,1.00003855648208,1500
"test",0.0386666666666667,0.192863560903311,0,0,0,0,1,1.00009265987077,1500
"logLik[1]",-5.34050906666667,1.06177619949174,-8.2589255,-5.759775,-5.079515,-4.6065225,-4.03236725,1.00468615862801,1500
"logLik[2]",-5.12266092666667,1.00801065390898,-7.75676375,-5.535715,-4.88952,-4.44179,-3.82383475,1.00279072790186,720
"logLik[3]",-5.44340404,1.06938960217704,-8.0946995,-5.8942325,-5.17827,-4.703985,-4.13212875,1.00172633071168,1500
"logLik[4]",-5.29162137333333,1.05103787276087,-8.11335625,-5.7141775,-5.027285,-4.58765,-3.98683625,1.00119219790022,1500
"logLik[5]",-5.36864773333333,1.07951541774021,-8.15101325,-5.829275,-5.123355,-4.6746175,-4.06301325,1.00406622823086,1500
"logLik[6]",-5.26954462666667,1.05644043801764,-7.9298775,-5.753275,-5.026165,-4.534775,-3.92560375,1.00158286046373,1300
"logLik[7]",-5.3260916,1.03820852026469,-8.03384075,-5.7741925,-5.07474,-4.6178125,-4.02341025,1.00798551327057,430
"logLik[8]",-5.37967703333333,1.04284129873222,-8.16779425,-5.84509,-5.11763,-4.654505,-4.03042525,1.0006279237425,1500
"logLik[9]",-5.42672399333333,1.06039412441063,-8.4024225,-5.817795,-5.189995,-4.7348425,-4.10882975,1.00097698930718,1500
"logLik[10]",-5.47764930666667,1.03495639230944,-8.23804325,-5.907135,-5.25529,-4.771875,-4.1646705,1.00819592843495,1500
"logLik[11]",-5.41289260666667,1.10391851295572,-8.2790865,-5.85385,-5.149045,-4.67907,-4.111286,1.0005239069613,1500
"logLik[12]",-5.39181420666667,1.04956910279063,-7.927741,-5.87771,-5.151535,-4.6658225,-4.0182315,1.00005939048018,1500
"logLik[13]",-5.26472434,1.02130563311821,-7.9640405,-5.662425,-5.02885,-4.5876775,-4.0438205,1.00553164935992,1500
"logLik[14]",-5.24232523333333,1.04528737886926,-8.0260635,-5.65758,-4.995735,-4.53955,-3.94286375,1.00082324181584,1500
"logLik[15]",-5.44687200666667,1.05253222026025,-8.1815585,-5.88095,-5.204485,-4.743475,-4.1397595,1.0063067383755,1500
"logLik[16]",-5.27502758,1.08440965800116,-8.05315575,-5.69076,-5.029285,-4.5444075,-3.92797625,1.00055210386391,1500
"logLik[17]",-5.27607679333333,1.0788321107389,-8.1354175,-5.7130825,-4.988145,-4.545055,-3.95413275,1.00014604820721,1500
"logLik[18]",-5.38841950666667,1.08507735226125,-8.479136,-5.8158775,-5.10209,-4.6688825,-4.10784,1.00068054194349,1500
"logLik[19]",-5.32742322666667,1.04686706245681,-7.833921,-5.8202275,-5.072495,-4.60932,-3.98185475,1.0048970446142,1500
"logLik[20]",-5.39015237333333,1.09220477290378,-8.2675585,-5.809445,-5.109405,-4.681385,-4.05571725,1.00125143763177,1500
"logLik[21]",-5.32414985333333,1.10831991189694,-8.26747025,-5.75819,-5.033155,-4.605995,-3.97213475,1.00063262218717,1500
"logLik[22]",-5.25606064666667,1.08395651515216,-8.03928625,-5.7384075,-4.98511,-4.5023375,-3.89987175,1.0030686149897,730
"logLik[23]",-5.39105704,1.01844793039284,-7.9728525,-5.8574325,-5.14592,-4.6808525,-4.054517,1.00029115816297,1500
"logLik[24]",-4.44152271333333,0.311960940394134,-5.07806325,-4.6419125,-4.43194,-4.2181025,-3.87021,1.00250505539107,800
"logLik[25]",-5.37614086,1.0431069709517,-8.14351775,-5.780785,-5.12972,-4.681365,-4.0665495,1.0002594878051,1500
"logLik[26]",-5.44950782666667,1.07689396721557,-8.146823,-5.878345,-5.22412,-4.7424725,-4.143913,1.0002082523779,1500
