"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"b[1]",3.97348076,0.079949956987088,3.81516499869272,3.91929749999761,3.97215499992133,4.03064499954412,4.12933024866837,1.00726498893554,340
"b[2]",0.108537339461333,0.0718537322499294,-0.0390644,0.057760275,0.1081385,0.15993125,0.249618925,1.00349458746432,660
"b[3]",0.336535644,0.0381536633450799,0.262493349678893,0.309585249779234,0.33624599737692,0.36204774838405,0.410173571906029,1.00422278689647,480
"b[4]",0.233550675333333,0.0336572580535271,0.167620695773387,0.209738499912389,0.233240498713238,0.258299999628354,0.29811157438783,1.00667973412508,300
"b[5]",-0.757210164,0.0783520837355049,-0.910099475,-0.811704,-0.756759,-0.703365,-0.609407475,1.00612431718002,350
"sigma",7.52656051333333,0.248209778682923,7.07080556618236,7.34790749978438,7.51690498798541,7.69089499976108,8.03457698189872,1.00756195932687,270
"phi",0.267609427333333,0.0102920092513078,0.24719542499546,0.260792749999641,0.267591498373921,0.273858999978091,0.288979717819719,1.0006143117099,1500
"test",0.228666666666667,0.420114134666188,0,0,0,0,1,1.00033471722046,1500
"logLik[1]",-5.08362337333333,1.09825804647978,-7.977403,-5.50139,-4.793785,-4.3199825,-3.95360475,1.00006324719445,1500
"logLik[2]",-4.8797926,1.00791813960692,-7.71235775,-5.290205,-4.57773,-4.16406,-3.7713085,1.00172870545378,1200
"logLik[3]",-4.75464560666667,1.00447252646776,-7.3834315,-5.1348025,-4.446915,-4.0513575,-3.68317925,1.00051921432708,1500
"logLik[4]",-4.87787262,0.950273536612622,-7.394119,-5.2829,-4.624085,-4.20431,-3.8371825,1.00958401362569,870
"logLik[5]",-5.04766838,1.01941096812676,-7.729204,-5.4257425,-4.73862,-4.3539325,-3.97440375,1.00984450927982,860
"logLik[6]",-4.80831559333333,0.029386054311072,-4.86710875,-4.827935,-4.807795,-4.787195,-4.75418275,1.00168492400529,1200
"logLik[7]",-11.6788598666667,0.432673555905568,-12.578445,-11.961575,-11.65055,-11.385475,-10.893815,1.00133869565978,1500
"logLik[8]",-4.83749079333333,0.993865732651144,-7.39962175,-5.2303875,-4.537785,-4.1300675,-3.77535075,1.0009965060119,1500
"logLik[9]",-5.48643544,1.01910624446787,-8.12895725,-5.87136,-5.186775,-4.7872475,-4.393465,1.00076212381471,1500
"logLik[10]",-5.43991140666667,1.01620553813096,-8.19038775,-5.7984625,-5.14995,-4.75432,-4.359346,1.01097022189492,1100
"logLik[11]",-5.37872426666667,0.982024050860521,-7.758253,-5.784245,-5.096025,-4.69403,-4.2853195,1.00098479918881,1500
"logLik[12]",-5.11117264,0.966868552450664,-7.60032925,-5.504445,-4.836715,-4.43444,-4.04943525,1.0046622561216,760
"logLik[13]",-4.08214345333333,0.0647246174249672,-4.20700825,-4.124395,-4.08328,-4.0377675,-3.95327075,1.0012968743332,1500
"logLik[14]",-4.37644706666667,0.974292059646998,-6.89097625,-4.7478025,-4.08641,-3.70403,-3.32869675,1.00210852024036,950
